"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C101,C301,C303,C302";"C_0603_1608Metric";4;"1uF";;;
2;"D301,D303";"D_0603_1608Metric";2;"ESDA25P35";;;
3;"P101";"ESProg_THT_1.27mm";1;"ESProg_Mating_Header";;;
4;"R102,R103,R104,R105,R106,R111,R108,R110,R401,R109,R107";"R_0603_1608Metric";11;"10K";;;
5;"U101";"ESP32-S2-WROVER";1;"ESP32-S2-WROVER";;;
6;"U301";"QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm";1;"STUSB4500QTR";;;
7;"H101,H102,H103,H104";"MountingHole_3.2mm_M3_Pad";4;"Mount";;;
8;"J102";"DG301-5.0-02P-12-18A";1;"Screw_Terminal_01x02";;;
9;"J101";"USB_C_Receptacle_Molex_105450-0101";1;"USB_C_Receptacle";;;
10;"SW101";"SW_SPST_B3U-1000P";1;"RESET";;;
11;"D302";"SOT-23";1;"ESDA25W";;;
12;"F101";"Fuse_2920_7451Metric";1;"Polyfuse";;;
13;"R302,R301";"R_0603_1608Metric";2;"1K";;;
14;"D101";"D_0603_1608Metric";1;"ERROR";;;
15;"R101";"R_0603_1608Metric";1;"60R";;;
16;"Q101";"TDSON-8-1";1;"BSC0503NSI";;;
17;"C402";"C_1206_3216Metric";1;"33uF";;;
18;"G101";"ON_AIR";1;"image";;;
19;"G102";"Temperature";1;"image";;;
20;"U401";"Texas_SIL0010A_MicroSiP-10-1EP_3.8x3mm_P0.6mm_EP0.7x2.9mm_ThermalVias";1;"LMZM23600V3";;;
21;"C102";"C_0603_1608Metric";1;"0.1uF";;;
22;"R201";"R_0603_1608Metric";1;"100K";;;
23;"C401";"C_1210_3225Metric";1;"10uF";;;
24;"SW103";"SW_SPST_B3U-1000P";1;"SETUP";;;
25;"SW102";"PinHeader_1x02_P2.54mm_Vertical";1;"SW_EXT";;;
26;"U402";"TMP117_SON65";1;"TMP117";;;
